Campaign,First,Last,District,campaign-website,ActBlue,Ballotpedia,X,Facebook,Instagram,abortion.md,guns.md,middle-east.md,environment.md,labor.md,
DCCC Frontline,Nikki,Budzinski,IL-13,https://nikkiforcongress.com/,https://secure.actblue.com/donate/rtb24budzinski,https://ballotpedia.org/Nikki_Budzinski,https://x.com/Nikki4Congress,https://www.facebook.com/NikkiforCongress,nikkiforcongress,2,0,2,1,2,
DCCC Frontline,Yadira,Caraveo,CO-08,https://www.caraveoforcongress.com/,https://secure.actblue.com/donate/rtb24caraveo,https://ballotpedia.org/Yadira_Caraveo,https://x.com/yadiracaraveo?lang=en,https://www.facebook.com/RepCaraveoMD/,caraveoforcongress,1,1,0,1,0,
DCCC Frontline,Matt,Cartwright,PA-08,https://cartwrightcongress.com/,https://secure.actblue.com/donate/rtb24cartwright,https://ballotpedia.org/Matt_Cartwright,https://x.com/RepCartwright?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.facebook.com/CongressmanMattCartwright/,cartwrightcongress,1,2,0,1,0,
DCCC Frontline,Angie,Craig,MN-02,https://angiecraig.com/,https://secure.actblue.com/donate/rtb24craig,https://ballotpedia.org/Angie_Craig,https://x.com/repangiecraig?lang=en,https://www.facebook.com/RepAngieCraig/,repangiecraig,1,0,0,2,3,
DCCC Frontline,Sharice,Davids,KS-03,https://shariceforcongress.com/,https://secure.actblue.com/donate/rtb24davids,https://ballotpedia.org/Sharice_Davids,https://x.com/RepDavids?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.facebook.com/RepDavids/,repdavids,1,0,3,1,0,
DCCC Frontline,Don,Davis,NC-01,https://votedondavis.com/,https://secure.actblue.com/donate/dd-web?refcode=fl_web_btn,https://ballotpedia.org/Donald_Davis,https://x.com/dondavisnc?lang=en,https://www.facebook.com/DonDavisNC/,repdondavis,3,2,3,0,3,
DCCC Frontline,Chris,Deluzio,PA-17,https://chrisforpa.com/,https://secure.actblue.com/donate/rtb24deluzio,https://ballotpedia.org/Chris_Deluzio,https://x.com/ChrisForPA?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.facebook.com/ChrisforPA/,repdeluzio,1,0,0,0,1,
DCCC Frontline,Jared,Golden,ME-02,https://jaredgoldenforcongress.com/,https://secure.actblue.com/donate/rtb24golden,https://ballotpedia.org/Jared_Golden,https://x.com/RepGolden?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.facebook.com/RepGolden/,golden4congress_,3,3,3,3,1,
DCCC Frontline,Vicente,Gonzalez,TX-34,http://www.vicentegonzalez.com/,https://secure.actblue.com/donate/rtb24gonzalez,https://ballotpedia.org/Vicente_Gonzalez_Jr.,https://x.com/RepGonzalez?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.facebook.com/RepVicenteGonzalez/,repvicentegonzalez,2,0,2,2,0,
DCCC Frontline,Josh,Harder,CA-09,https://harderforcongress.com/,https://secure.actblue.com/donate/rtb24harder,https://ballotpedia.org/Josh_Harder,https://x.com/JoshHarder?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.facebook.com/harderforcongress/,repjoshharder,2,0,1,1,2,
DCCC Frontline,Jahana,Hayes,CT-05,https://jahanahayes.com/,https://secure.actblue.com/donate/rtb24hayes,https://ballotpedia.org/Jahana_Hayes,https://x.com/jahanahayesct?lang=en,https://www.facebook.com/jahanahayesct/,repjahanahayes,1,1,3,1,3,
DCCC Frontline,Steven,Horsford,NV-04,https://www.stevenhorsford.com/,https://secure.actblue.com/donate/rtb24horsford,https://ballotpedia.org/Steven_Horsford,https://x.com/rephorsford,https://www.facebook.com/RepHorsford/,rephorsford,3,0,2,0,0,
